documents,metadata
approach, "{\"context\":\"household actions\"}"
ask, "{\"context\":\"household actions\"}"
count, "{\"context\":\"household actions\"}"
find, "{\"context\":\"household actions\"}"
follow, "{\"context\":\"household actions\"}"
give, "{\"context\":\"household actions\"}"
go, "{\"context\":\"household actions\"}"
grab, "{\"context\":\"household actions\"}"
identify, "{\"context\":\"household actions\"}"
interact, "{\"context\":\"household actions\"}"
open, "{\"context\":\"household actions\"}"
close, "{\"context\":\"household actions\"}"
pick, "{\"context\":\"household actions\"}"
place, "{\"context\":\"household actions\"}"
remember, "{\"context\":\"household actions\"}"
