documents,metadata
living_room, "{\"context\":\"household locations\"}"
living_room couches, "{\"context\":\"household locations\"}"
dinning_room, "{\"context\":\"household locations\"}"
dinning_room entrance, "{\"context\":\"household locations\"}"
bathroom, "{\"context\":\"household locations\"}"
dinning_room table, "{\"context\":\"household locations\"}"
kitchen, "{\"context\":\"household locations\"}"
kitchen small_table, "{\"context\":\"household locations\"}"
kitchen big_table, "{\"context\":\"household locations\"}"
kitchen shelve, "{\"context\":\"household locations\"}"
bedroom, "{\"context\":\"household locations\"}"
bedroom bed, "{\"context\":\"household locations\"}"
