epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.713,1.68058,2.75392,1.71717,0.81911,0.39639,0.63209,0.33954,1.4947,2.49528,1.5328,0.000540231,0.000540231,0.000540231
2,359.309,1.39916,1.70824,1.42333,0.36453,0.38307,0.28412,0.11565,1.94252,3.13213,1.995,0.00104165,0.00104165,0.00104165
3,549.797,1.33797,1.46705,1.37118,0.62703,0.64292,0.67524,0.32424,1.85875,2.3319,1.83334,0.00148806,0.00148806,0.00148806
4,740.995,1.38682,1.30041,1.38844,0.70191,0.47691,0.6212,0.27751,1.73863,2.50684,1.74999,0.00141945,0.00141945,0.00141945
5,931.967,1.33109,1.22023,1.32866,0.81164,0.65752,0.7931,0.41633,1.60951,1.5989,1.57584,0.00133693,0.00133693,0.00133693
6,1124.05,1.29057,1.14088,1.31538,0.68713,0.69907,0.70578,0.36976,1.49987,1.50733,1.54627,0.00125442,0.00125442,0.00125442
7,1311.44,1.28242,1.06832,1.29189,0.77429,0.7731,0.84598,0.48875,1.38345,1.15235,1.36256,0.0011719,0.0011719,0.0011719
8,1496.53,1.22758,0.99576,1.26552,0.90037,0.74642,0.88758,0.51628,1.36689,1.05466,1.36248,0.00108938,0.00108938,0.00108938
9,1681.2,1.23845,0.94553,1.25979,0.83727,0.77896,0.86336,0.48986,1.39696,1.24146,1.36201,0.00100687,0.00100687,0.00100687
10,1865.22,1.17214,0.90492,1.22594,0.81206,0.80116,0.89259,0.5404,1.29606,1.01279,1.29678,0.000924352,0.000924352,0.000924352
11,2048.19,1.14454,0.9185,1.25343,0.87037,0.90521,0.91124,0.50901,1.37011,0.97294,1.36857,0.000841835,0.000841835,0.000841835
12,2230.77,1.15018,0.83313,1.25921,0.84465,0.80036,0.89852,0.55176,1.3305,1.14987,1.3188,0.000759318,0.000759318,0.000759318
13,2413.96,1.08862,0.78184,1.23279,0.85942,0.85989,0.93776,0.57215,1.26928,0.80442,1.28323,0.000676802,0.000676802,0.000676802
14,2599.39,1.05369,0.75725,1.21851,0.87034,0.90707,0.93119,0.57761,1.23688,0.75228,1.2658,0.000594286,0.000594286,0.000594286
15,2791.63,1.06425,0.70343,1.2256,0.88806,0.86253,0.91911,0.58354,1.26041,0.7791,1.2678,0.000511769,0.000511769,0.000511769
16,2976.39,1.00671,0.67441,1.17005,0.8744,0.87769,0.93204,0.55862,1.26224,0.73215,1.26055,0.000429253,0.000429253,0.000429253
17,3162.47,0.9801,0.63947,1.15829,0.89027,0.8906,0.93361,0.55574,1.28156,0.71449,1.27235,0.000346736,0.000346736,0.000346736
18,3347.39,0.98409,0.64146,1.15272,0.90117,0.87526,0.92535,0.57727,1.2381,0.71182,1.24144,0.00026422,0.00026422,0.00026422
19,3531.23,0.93727,0.60969,1.13796,0.87932,0.90927,0.93224,0.57614,1.25504,0.71883,1.25138,0.000181703,0.000181703,0.000181703
20,3715.51,0.90573,0.59544,1.12378,0.88519,0.8779,0.92709,0.57572,1.23667,0.70749,1.25612,9.91865e-05,9.91865e-05,9.91865e-05
